UUID        = 580c007b-2513-44e2-b0e3-073272ff6917
ScanDate    = 20180913_092406
LogVersion  = EJA_1
LogDataType = PULS
SampleTime  = 2

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     13575658     PULS   2013 
     13575660     PULS   2008 
     13575662     PULS   1998 
     13575664     PULS   1985 
     13575666     PULS   1970 
     13575668     PULS   1955 
     13575670     PULS   1938 
     13575672     PULS   1920 
     13575674     PULS   1903 
     13575676     PULS   1883 
     13575678     PULS   1860 
     13575680     PULS   1838 
     13575682     PULS   1818 
     13575684     PULS   1800 
     13575686     PULS   1783 
     13575688     PULS   1768 
     13575690     PULS   1750 
     13575692     PULS   1738 
     13575694     PULS   1723 
     13575696     PULS   1710 
     13575698     PULS   1695 
     13575700     PULS   1683 
     13575702     PULS   1670 
     13575704     PULS   1660 
     13575706     PULS   1650 
     13575708     PULS   1640 
     13575710     PULS   1633 
     13575712     PULS   1623 
     13575714     PULS   1613 
     13575716     PULS   1603 
     13575718     PULS   1593 
     13575720     PULS   1588 
     13575722     PULS   1575 
     13575724     PULS   1568 
     13575726     PULS   1558 
     13575728     PULS   1550 
     13575730     PULS   1543 
     13575732     PULS   1538 
     13575734     PULS   1530 
     13575736     PULS   1520 
     13575738     PULS   1513 
     13575740     PULS   1505 
     13575742     PULS   1495 
     13575744     PULS   1488 
     13575746     PULS   1480 
     13575748     PULS   1473 
     13575750     PULS   1468 
     13575752     PULS   1463 
     13575754     PULS   1460 
     13575756     PULS   1458 
     13575758     PULS   1455 
     13575760     PULS   1453 
     13575762     PULS   1450 
     13575764     PULS   1448 
     13575766     PULS   1440 
     13575768     PULS   1433 
     13575770     PULS   1425 
     13575772     PULS   1423 
     13575774     PULS   1415 
     13575776     PULS   1410 
     13575778     PULS   1408 
     13575780     PULS   1405 
     13575782     PULS   1403 
     13575784     PULS   1405 
     13575786     PULS   1403 
     13575788     PULS   1403 
     13575790     PULS   1405 
     13575792     PULS   1408 
     13575794     PULS   1413 
     13575796     PULS   1415 
     13575798     PULS   1420 
     13575800     PULS   1428 
     13575802     PULS   1428 
     13575804     PULS   1428 
     13575806     PULS   1428 
     13575808     PULS   1433 
     13575810     PULS   1435 
     13575812     PULS   1438 
     13575814     PULS   1443 
     13575816     PULS   1448 
     13575818     PULS   1453 
     13575820     PULS   1460 
     13575822     PULS   1465 
     13575824     PULS   1470 
     13575826     PULS   1478 
     13575828     PULS   1480 
     13575830     PULS   1483 
     13575832     PULS   1483 
     13575834     PULS   1483 
     13575836     PULS   1485 
     13575838     PULS   1490 
     13575840     PULS   1498 
     13575842     PULS   1508 
     13575844     PULS   1523 
     13575846     PULS   1545 
     13575848     PULS   1575 
     13575850     PULS   1608 
     13575852     PULS   1653 
     13575854     PULS   1703 
     13575856     PULS   1760 
     13575858     PULS   1820 
     13575860     PULS   1890 
     13575862     PULS   1960 
     13575864     PULS   2035 
     13575866     PULS   2113 
     13575868     PULS   2190 
     13575870     PULS   2273 
     13575872     PULS   2358 
     13575874     PULS   2438 
     13575876     PULS   2520 
     13575878     PULS   2600 
     13575880     PULS   2678 
     13575882     PULS   2753 
     13575884     PULS   2820 
     13575886     PULS   2883 
     13575888     PULS   2940 
     13575890     PULS   2990 
     13575892     PULS   3038 
     13575894     PULS   3078 
     13575896     PULS   3113 
     13575898     PULS   3143 
     13575900     PULS   3168 
     13575902     PULS   3190 
     13575904     PULS   3203 
     13575906     PULS   3213 
     13575908     PULS   3218 
     13575910     PULS   3218 
     13575912     PULS   3213 
     13575914     PULS   3205 
     13575916     PULS   3198 
     13575918     PULS   3183 
     13575920     PULS   3168 
     13575922     PULS   3145 
     13575924     PULS   3120 
     13575926     PULS   3095 
     13575928     PULS   3070  PULS_TRIGGER
     13575930     PULS   3043 
     13575932     PULS   3018 
     13575934     PULS   2993 
     13575936     PULS   2965 
     13575938     PULS   2933 
     13575940     PULS   2903 
     13575942     PULS   2870 
     13575944     PULS   2835 
     13575946     PULS   2803 
     13575948     PULS   2768 
     13575950     PULS   2730 
     13575952     PULS   2695 
     13575954     PULS   2660 
     13575956     PULS   2625 
     13575958     PULS   2590 
     13575960     PULS   2555 
     13575962     PULS   2518 
     13575964     PULS   2480 
     13575966     PULS   2440 
     13575968     PULS   2403 
     13575970     PULS   2365 
     13575972     PULS   2330 
     13575974     PULS   2298 
     13575976     PULS   2265 
     13575978     PULS   2235 
     13575980     PULS   2208 
     13575982     PULS   2183 
     13575984     PULS   2160 
     13575986     PULS   2140 
     13575988     PULS   2120 
     13575990     PULS   2103 
     13575992     PULS   2090 
     13575994     PULS   2080 
     13575996     PULS   2070 
     13575998     PULS   2060 
     13576000     PULS   2055 
     13576002     PULS   2050 
     13576006     PULS   2045 
     13576008     PULS   2045 
     13576010     PULS   2045 
     13576012     PULS   2045 
     13576014     PULS   2045 
     13576020     PULS   2045 
     13576022     PULS   2045 
     13576024     PULS   2040 
     13576026     PULS   2038 
     13576028     PULS   2030 
     13576030     PULS   2023 
     13576032     PULS   2015 
     13576034     PULS   2010 
     13576036     PULS   2003 
     13576038     PULS   1995 
     13576040     PULS   1990 
     13576042     PULS   1978 
     13576044     PULS   1970 
     13576046     PULS   1963 
     13576048     PULS   1955 
     13576050     PULS   1950 
     13576052     PULS   1940 
     13576054     PULS   1930 
     13576056     PULS   1918 
     13576058     PULS   1903 
     13576060     PULS   1888 
     13576062     PULS   1870 
     13576064     PULS   1855 
     13576066     PULS   1840 
     13576068     PULS   1828 
     13576070     PULS   1813 
     13576072     PULS   1800 
     13576074     PULS   1788 
     13576076     PULS   1770 
     13576078     PULS   1753 
     13576080     PULS   1738 
     13576082     PULS   1720 
     13576084     PULS   1703 
     13576086     PULS   1685 
     13576088     PULS   1665 
     13576090     PULS   1648 
     13576092     PULS   1630 
     13576094     PULS   1613 
     13576096     PULS   1598 
     13576098     PULS   1580 
     13576100     PULS   1565 
     13576102     PULS   1548 
     13576104     PULS   1533 
     13576106     PULS   1518 
     13576108     PULS   1500 
     13576110     PULS   1490 
     13576112     PULS   1475 
     13576114     PULS   1465 
     13576116     PULS   1453 
     13576118     PULS   1443 
     13576120     PULS   1430 
     13576122     PULS   1423 
     13576124     PULS   1410 
     13576126     PULS   1400 
     13576128     PULS   1393 
     13576130     PULS   1385 
     13576132     PULS   1380 
     13576134     PULS   1373 
     13576136     PULS   1370 
     13576138     PULS   1363 
     13576140     PULS   1360 
     13576142     PULS   1358 
     13576144     PULS   1353 
     13576146     PULS   1348 
     13576148     PULS   1348 
     13576150     PULS   1348 
     13576152     PULS   1350 
     13576154     PULS   1350 
     13576156     PULS   1353 
     13576158     PULS   1353 
     13576160     PULS   1353 
     13576162     PULS   1350 
     13576164     PULS   1348 
     13576166     PULS   1345 
     13576168     PULS   1345 
     13576170     PULS   1348 
     13576172     PULS   1348 
     13576174     PULS   1350 
     13576176     PULS   1353 
     13576178     PULS   1353 
     13576180     PULS   1350 
     13576182     PULS   1348 
     13576184     PULS   1345 
     13576186     PULS   1340 
     13576188     PULS   1338 
     13576190     PULS   1338 
     13576192     PULS   1338 
     13576194     PULS   1340 
     13576196     PULS   1340 
     13576198     PULS   1343 
     13576200     PULS   1340 
     13576202     PULS   1343 
     13576204     PULS   1343 
     13576206     PULS   1343 
     13576208     PULS   1345 
     13576210     PULS   1345 
     13576212     PULS   1348 
     13576214     PULS   1348 
     13576216     PULS   1348 
     13576218     PULS   1348 
     13576220     PULS   1348 
     13576222     PULS   1348 
     13576224     PULS   1350 
     13576226     PULS   1355 
     13576228     PULS   1360 
     13576230     PULS   1368 
     13576232     PULS   1375 
     13576234     PULS   1380 
     13576236     PULS   1383 
     13576238     PULS   1385 
     13576240     PULS   1388 
     13576242     PULS   1388 
     13576244     PULS   1388 
     13576246     PULS   1395 
     13576248     PULS   1405 
     13576250     PULS   1420 
     13576252     PULS   1440 
     13576254     PULS   1468 
     13576256     PULS   1503 
     13576258     PULS   1545 
     13576260     PULS   1593 
     13576262     PULS   1650 
     13576264     PULS   1708 
     13576266     PULS   1773 
     13576268     PULS   1840 
     13576270     PULS   1913 
     13576272     PULS   1988 
     13576274     PULS   2060 
     13576276     PULS   2140 
     13576278     PULS   2220 
     13576280     PULS   2300 
     13576282     PULS   2378 
     13576284     PULS   2455 
     13576286     PULS   2530 
     13576288     PULS   2605 
     13576290     PULS   2675 
     13576292     PULS   2743 
     13576294     PULS   2805 
     13576296     PULS   2858 
     13576298     PULS   2910 
     13576300     PULS   2950 
     13576302     PULS   2988 
     13576304     PULS   3018 
     13576306     PULS   3040 
     13576308     PULS   3063 
     13576310     PULS   3078 
     13576312     PULS   3088 
     13576314     PULS   3093 
     13576316     PULS   3090 
     13576318     PULS   3090 
     13576320     PULS   3080 
     13576322     PULS   3070 
     13576324     PULS   3055 
     13576326     PULS   3040 
     13576328     PULS   3023 
     13576330     PULS   3005 
     13576332     PULS   2985 
     13576334     PULS   2960 
     13576336     PULS   2938  PULS_TRIGGER
     13576338     PULS   2910 
