UUID        = 580c007b-2513-44e2-b0e3-073272ff6917
ScanDate    = 20180913_092406
LogVersion  = EJA_1
LogDataType = RESP
SampleTime  = 8

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     13580220     RESP   2294 
     13580228     RESP   2338 
     13580236     RESP   2367 
     13580244     RESP   2396 
     13580252     RESP   2396 
     13580260     RESP   2381 
     13580268     RESP   2367 
     13580276     RESP   2367 
     13580284     RESP   2352 
     13580292     RESP   2338 
     13580300     RESP   2323 
     13580308     RESP   2309 
     13580316     RESP   2323 
     13580324     RESP   2352 
     13580332     RESP   2352 
     13580340     RESP   2352 
     13580348     RESP   2352 
     13580356     RESP   2352 
     13580364     RESP   2367 
     13580372     RESP   2367 
     13580380     RESP   2367 
     13580388     RESP   2381 
     13580396     RESP   2367 
     13580404     RESP   2381 
     13580412     RESP   2381 
     13580420     RESP   2381 
     13580428     RESP   2381 
     13580436     RESP   2396 
     13580444     RESP   2367 
     13580452     RESP   2381 
     13580460     RESP   2381 
     13580468     RESP   2367 
     13580476     RESP   2381 
     13580484     RESP   2367 
     13580492     RESP   2367 
     13580500     RESP   2352 
     13580508     RESP   2367 
     13580516     RESP   2338 
     13580524     RESP   2309 
     13580532     RESP   2309 
     13580540     RESP   2309 
     13580548     RESP   2323 
     13580556     RESP   2294 
     13580564     RESP   2251 
     13580572     RESP   2207 
     13580580     RESP   2193 
     13580588     RESP   2193 
     13580596     RESP   2207 
     13580604     RESP   2222 
     13580612     RESP   2222 
     13580620     RESP   2222 
     13580628     RESP   2222 
     13580636     RESP   2236 
     13580644     RESP   2251 
     13580652     RESP   2265 
     13580660     RESP   2280 
     13580668     RESP   2309 
     13580676     RESP   2352 
     13580684     RESP   2352 
     13580692     RESP   2352 
     13580700     RESP   2338 
     13580708     RESP   2323 
     13580716     RESP   2309 
     13580724     RESP   2294 
     13580732     RESP   2280 
     13580740     RESP   2280 
     13580748     RESP   2294 
     13580756     RESP   2309 
     13580764     RESP   2309 
     13580772     RESP   2309 
     13580780     RESP   2309 
     13580788     RESP   2309 
     13580796     RESP   2323 
     13580804     RESP   2309 
     13580812     RESP   2309 
     13580820     RESP   2323 
     13580828     RESP   2338 
     13580836     RESP   2338 
     13580844     RESP   2323 
     13580852     RESP   2338 
     13580860     RESP   2338 
     13580868     RESP   2338 
     13580876     RESP   2338 
     13580884     RESP   2338 
     13580892     RESP   2338 
     13580900     RESP   2338 
     13580908     RESP   2338 
     13580916     RESP   2338 
     13580924     RESP   2323 
     13580932     RESP   2323 
     13580940     RESP   2338 
     13580948     RESP   2309 
     13580956     RESP   2309 
     13580964     RESP   2309 
     13580972     RESP   2309 
     13580980     RESP   2323 
     13580988     RESP   2294 
     13580996     RESP   2251 
     13581004     RESP   2236 
     13581012     RESP   2222 
     13581020     RESP   2222 
     13581028     RESP   2236 
     13581036     RESP   2236 
     13581044     RESP   2236 
     13581052     RESP   2236 
     13581060     RESP   2236 
     13581068     RESP   2265 
     13581076     RESP   2280 
     13581084     RESP   2294 
     13581092     RESP   2309 
     13581100     RESP   2352 
     13581108     RESP   2381 
     13581116     RESP   2381  PULS_TRIGGER
     13581124     RESP   2381 
     13581132     RESP   2381 
     13581140     RESP   2367 
     13581148     RESP   2352 
     13581156     RESP   2338 
     13581164     RESP   2323 
     13581172     RESP   2323 
     13581180     RESP   2309 
     13581188     RESP   2323 
     13581196     RESP   2323 
     13581204     RESP   2338 
     13581212     RESP   2338 
     13581220     RESP   2309 
     13581228     RESP   2338 
     13581236     RESP   2338 
     13581244     RESP   2352 
     13581252     RESP   2352 
     13581260     RESP   2352 
     13581268     RESP   2367 
     13581276     RESP   2352 
     13581284     RESP   2367 
     13581292     RESP   2367 
     13581300     RESP   2367 
     13581308     RESP   2352 
     13581316     RESP   2367 
     13581324     RESP   2338 
     13581332     RESP   2352 
     13581340     RESP   2338 
     13581348     RESP   2352 
     13581356     RESP   2352 
     13581364     RESP   2352 
     13581372     RESP   2338 
     13581380     RESP   2352 
     13581388     RESP   2352 
     13581396     RESP   2309 
     13581404     RESP   2294 
     13581412     RESP   2294 
     13581420     RESP   2338 
     13581428     RESP   2309 
     13581436     RESP   2280 
     13581444     RESP   2236 
     13581452     RESP   2222 
     13581460     RESP   2207 
     13581468     RESP   2222 
     13581476     RESP   2207 
     13581484     RESP   2207 
     13581492     RESP   2222 
     13581500     RESP   2222 
     13581508     RESP   2236 
     13581516     RESP   2251 
     13581524     RESP   2265 
     13581532     RESP   2294 
     13581540     RESP   2323 
     13581548     RESP   2352 
     13581556     RESP   2352 
     13581564     RESP   2352 
     13581572     RESP   2338 
     13581580     RESP   2323 
     13581588     RESP   2323 
     13581596     RESP   2309 
     13581604     RESP   2294 
     13581612     RESP   2294 
     13581620     RESP   2309 
     13581628     RESP   2309 
     13581636     RESP   2323 
     13581644     RESP   2323 
     13581652     RESP   2323 
     13581660     RESP   2323 
     13581668     RESP   2323 
     13581676     RESP   2338 
     13581684     RESP   2338 
     13581692     RESP   2338 
     13581700     RESP   2352 
     13581708     RESP   2352 
     13581716     RESP   2323 
     13581724     RESP   2338 
     13581732     RESP   2352 
     13581740     RESP   2338 
     13581748     RESP   2352 
     13581756     RESP   2352 
     13581764     RESP   2338 
     13581772     RESP   2338 
     13581780     RESP   2323 
     13581788     RESP   2323 
     13581796     RESP   2309 
     13581804     RESP   2323 
     13581812     RESP   2309 
     13581820     RESP   2309 
     13581828     RESP   2309 
     13581836     RESP   2280 
     13581844     RESP   2265 
     13581852     RESP   2280 
     13581860     RESP   2294 
     13581868     RESP   2280 
     13581876     RESP   2236 
     13581884     RESP   2207 
     13581892     RESP   2193 
     13581900     RESP   2178 
     13581908     RESP   2178 
     13581916     RESP   2178 
     13581924     RESP   2178 
     13581932     RESP   2178 
     13581940     RESP   2193 
     13581948     RESP   2193 
     13581956     RESP   2222 
     13581964     RESP   2236 
     13581972     RESP   2251 
     13581980     RESP   2280 
     13581988     RESP   2294 
     13581996     RESP   2323 
     13582004     RESP   2323 
     13582012     RESP   2338 
     13582020     RESP   2294 
     13582028     RESP   2309 
     13582036     RESP   2294 
