UUID        = 580c007b-2513-44e2-b0e3-073272ff6917
ScanDate    = 20180913_092406
LogVersion  = EJA_1
LogDataType = ACQUISITION_INFO
NumSlices   = 64
NumVolumes  = 300
NumEchoes   = 3

VOLUME   SLICE   ACQ_START_TICS  ACQ_FINISH_TICS  ECHO
     2      13         13586958         13586966     0
     2      29         13586958         13586966     0
     2      45         13586958         13586966     0
     2      61         13586958         13586966     0
     2      13         13586967         13586975     1
     2      29         13586967         13586975     1
     2      45         13586967         13586975     1
     2      61         13586967         13586975     1
     2      13         13586976         13586984     2
     2      29         13586976         13586984     2
     2      45         13586976         13586984     2
     2      61         13586976         13586984     2
     2       4         13586994         13587002     0
     2      20         13586994         13587002     0
     2      36         13586994         13587002     0
     2      52         13586994         13587002     0
     2       4         13587003         13587011     1
     2      20         13587003         13587011     1
     2      36         13587003         13587011     1
     2      52         13587003         13587011     1
     2       4         13587012         13587020     2
     2      20         13587012         13587020     2
     2      36         13587012         13587020     2
     2      52         13587012         13587020     2
     2      11         13587030         13587039     0
     2      27         13587030         13587039     0
     2      43         13587030         13587039     0
     2      59         13587030         13587039     0
     2      11         13587039         13587047     1
     2      27         13587039         13587047     1
     2      43         13587039         13587047     1
     2      59         13587039         13587047     1
     2      11         13587048         13587056     2
     2      27         13587048         13587056     2
     2      43         13587048         13587056     2
     2      59         13587048         13587056     2
     2       2         13587066         13587075     0
     2      18         13587066         13587075     0
     2      34         13587066         13587075     0
     2      50         13587066         13587075     0
     2       2         13587075         13587083     1
     2      18         13587075         13587083     1
     2      34         13587075         13587083     1
     2      50         13587075         13587083     1
     2       2         13587084         13587092     2
     2      18         13587084         13587092     2
     2      34         13587084         13587092     2
     2      50         13587084         13587092     2
     2       9         13587103         13587111     0
     2      25         13587103         13587111     0
     2      41         13587103         13587111     0
     2      57         13587103         13587111     0
     2       9         13587111         13587119     1
     2      25         13587111         13587119     1
     2      41         13587111         13587119     1
     2      57         13587111         13587119     1
     2       9         13587120         13587128     2
     2      25         13587120         13587128     2
     2      41         13587120         13587128     2
     2      57         13587120         13587128     2
     3       0         13587147         13587155     0
     3      16         13587147         13587155     0
     3      32         13587147         13587155     0
     3      48         13587147         13587155     0
     3       0         13587155         13587164     1
     3      16         13587155         13587164     1
     3      32         13587155         13587164     1
     3      48         13587155         13587164     1
     3       0         13587164         13587172     2
     3      16         13587164         13587172     2
     3      32         13587164         13587172     2
     3      48         13587164         13587172     2
     3       7         13587183         13587191     0
     3      23         13587183         13587191     0
     3      39         13587183         13587191     0
     3      55         13587183         13587191     0
     3       7         13587192         13587200     1
     3      23         13587192         13587200     1
     3      39         13587192         13587200     1
     3      55         13587192         13587200     1
     3       7         13587200         13587208     2
     3      23         13587200         13587208     2
     3      39         13587200         13587208     2
     3      55         13587200         13587208     2
     3      14         13587219         13587227     0
     3      30         13587219         13587227     0
     3      46         13587219         13587227     0
     3      62         13587219         13587227     0
     3      14         13587228         13587236     1
     3      30         13587228         13587236     1
     3      46         13587228         13587236     1
     3      62         13587228         13587236     1
     3      14         13587236         13587245     2
     3      30         13587236         13587245     2
     3      46         13587236         13587245     2
     3      62         13587236         13587245     2
     3       5         13587255         13587263     0
     3      21         13587255         13587263     0
     3      37         13587255         13587263     0
     3      53         13587255         13587263     0
     3       5         13587264         13587272     1
     3      21         13587264         13587272     1
     3      37         13587264         13587272     1
     3      53         13587264         13587272     1
     3       5         13587272         13587281     2
     3      21         13587272         13587281     2
     3      37         13587272         13587281     2
     3      53         13587272         13587281     2
     3      12         13587291         13587299     0
     3      28         13587291         13587299     0
     3      44         13587291         13587299     0
